sectorname,emp_change,emp_change_share,ephi_rate,ephi_change
Accommodation and Food Services,5999148.283163754,0.41496858586506863,0.2386066447047517,1431436.6429319752
"Admin. and Support, Waste Mgmt. and Remediation Services",2299424.80479664,0.24106189426400068,0.3912952273353141,899753.9517333613
"Agriculture, Forestry, Fishing, and Hunting",78615.95928172697,0.05658080856830455,0.2937229206197261,23091.309167550313
"Arts, Entertainment, and Recreation",1051317.578541771,0.3604279735639505,0.37419812256117574,393401.06410589215
Construction,1625316.5756357478,0.20762893137606742,0.4446741182087822,722736.2150809437
Educational Services,605875.689818597,0.052540055904948986,0.6160511275523197,373250.40186928626
Finance and Insurance,192161.84971796034,0.03145504190603459,0.7049956246436884,135473.26327460003
Health Care and Social Assistance,3461061.00902859,0.15530722500445876,0.5679057545707262,1965556.4639477003
Information,404132.89884183556,0.13402830057763634,0.6186900742843952,250033.0132052232
Management of Companies and Enterprises,223749.82180653352,0.09200076717662209,0.636180465658008,142345.2658277768
Manufacturing,3046646.63052319,0.23523402971307333,0.6932410668857101,2112060.56056765
"Mining, Quarrying, and Oil and Gas Extraction",103358.38617816464,0.15237580256022368,0.7465520503295862,77162.41512006597
Other Services (except Public Administration),1574097.2232760328,0.33985707811408805,0.33349986220266675,524961.2070561573
"Professional, Scientific, and Technical Services",1019745.750493883,0.10517806759663303,0.6100340645604836,622079.6449920642
Public Administration,210111.16395752146,0.02719336000752057,0.7042829524227797,147977.71088898997
Real Estate and Rental and Leasing,399428.5016511362,0.1692507277182046,0.46517568044197705,185804.42504348664
Retail Trade,3693112.146098873,0.23552296155415647,0.4078538065866721,1506249.8469378992
Transportation and Warehousing,984791.6297652104,0.15468620561552932,0.5847398217084766,575846.8820089092
Utilities,13176.230092159167,0.016368767157225916,0.7710642208894012,10159.719590270191
Wholesale Trade,898071.8673306738,0.15143147225937412,0.614696954510362,552042.041779599
All industries,27883344,0.1879829543459468,0.4537268573356697,12651422.045129402
