STATE,may9_advance,may9_pua_claims,may2_pua_claims
Alabama,25929,0,0
Alaska,8367,0,0
Arizona,31795,0,0
Arkansas,12416,0,0
California,214028,136659,297738
Colorado,22493,9125,13149
Connecticut,298680,10624,0
Delaware,5068,0,0
District of Columbia,5746,0,0
Florida,221905,0,0
Georgia,241387,0,0
Hawaii,12327,0,0
Idaho,5511,3985,0
Illinois,72993,0,0
Indiana,30691,68835,0
Iowa,16735,3910,4509
Kansas,13138,0,0
Kentucky,69069,0,0
Louisiana,40268,17583,20245
Maine,10131,9647,10498
Maryland,44491,18982,44280
Massachusetts,44467,70464,68826
Michigan,47438,138048,86009
Minnesota,40427,2311,1015
Mississippi,22810,0,0
Missouri,28939,7082,17784
Montana,3443,2163,3524
Nebraska,6408,1784,1633
Nevada,24045,0,0
New Hampshire,9491,0,0
New Jersey,68685,51234,76100
New Mexico,8850,4670,17850
New York,200375,53042,38700
North Carolina,56193,52351,89951
North Dakota,3225,526,5827
Ohio,50548,0,0
Oklahoma,32794,7162,2124
Oregon,31737,0,0
Pennsylvania,75557,51591,43889
Puerto Rico,14858,0,0
Rhode Island,5318,4954,5815
South Carolina,32513,0,0
South Dakota,5131,693,99
Tennessee,29308,5914,10617
Texas,141672,47088,56548
Utah,7135,0,0
Vermont,2805,0,0
U.S. Virgin Islands,37,0,0
Virginia,53396,0,0
Washington,116210,48665,66652
West Virginia,5842,0,0
Wisconsin,38582,11194,18652
Wyoming,2686,1709,572
US Total,2614093,841995,1002606
