statename,ic_headline
Alaska,12201
Alabama,66432
Arkansas,25404
Arizona,72457
California,528360
Colorado,67639
Connecticut,102808
District of Columbia,8639
Delaware,9446
Florida,506670
Georgia,247003
Hawaii,26591
Iowa,26901
Idaho,13023
Illinois,102936
Indiana,72756
Kansas,30596
Kentucky,103981
Louisiana,91923
Massachusetts,80969
Maryland,48495
Maine,11769
Michigan,136707
Minnesota,74829
Missouri,59602
Mississippi,36913
Montana,11176
North Carolina,106266
North Dakota,8065
Nebraska,12222
New Hampshire,20414
New Jersey,140139
New Mexico,13621
Nevada,39496
New York,205184
Ohio,109830
Oklahoma,46696
Oregon,37209
Pennsylvania,194594
Puerto Rico,26481
Rhode Island,18078
South Carolina,74362
South Dakota,5295
Tennessee,67226
Texas,280761
Utah,19649
Virginia,82729
U.S. Virgin Islands,13
Vermont,6598
Washington,83475
Wisconsin,55883
West Virginia,46755
Wyoming,4381
